"exp_name","exp_id","config_id","num_machines","time","num","machine_id","disk_id","disk_name","disk_count","disk_speed","disk_cost","disk_size","vm_id","vm_name","ram","cpu_count","vm_speed","vm_cost"
"spark","2","2","14","694.54","1","1","1","ebs","2","slow","0.12","500.0","12","c4.2xlarge","15.0","8","fast","0.552"
"spark","2","3","4","3059.14","1","1","1","ebs","2","slow","0.12","500.0","12","c4.2xlarge","15.0","8","fast","0.552"
"spark","2","4","6","2205.41","1","1","1","ebs","2","slow","0.12","500.0","12","c4.2xlarge","15.0","8","fast","0.552"
"spark","2","5","8","1185.96","1","1","1","ebs","2","slow","0.12","500.0","12","c4.2xlarge","15.0","8","fast","0.552"
"spark","2","6","16","3211.84","1","2","1","ebs","2","slow","0.12","500.0","7","c4.large","3.75","2","fast","0.138"
"spark","2","9","16","1057.33","1","3","1","ebs","2","slow","0.12","500.0","11","c4.xlarge","7.5","4","fast","0.276"
"spark","2","10","20","942.58","1","3","1","ebs","2","slow","0.12","500.0","11","c4.xlarge","7.5","4","fast","0.276"
"spark","2","11","28","675.61","1","3","1","ebs","2","slow","0.12","500.0","11","c4.xlarge","7.5","4","fast","0.276"
"spark","2","12","8","2739.26","1","3","1","ebs","2","slow","0.12","500.0","11","c4.xlarge","7.5","4","fast","0.276"
"spark","2","17","12","510.31","1","5","2","local","2","fast","0.0","500.0","4","i2.xlarge","30.5","4","slow","0.938"
"spark","2","18","16","469.52","1","5","2","local","2","fast","0.0","500.0","4","i2.xlarge","30.5","4","slow","0.938"
"spark","2","19","20","439.66","1","5","2","local","2","fast","0.0","500.0","4","i2.xlarge","30.5","4","slow","0.938"
"spark","2","20","28","473.37","1","5","2","local","2","fast","0.0","500.0","4","i2.xlarge","30.5","4","slow","0.938"
"spark","2","21","8","648.12","1","5","2","local","2","fast","0.0","500.0","4","i2.xlarge","30.5","4","slow","0.938"
"spark","2","22","10","429.24","1","6","1","ebs","2","slow","0.12","500.0","8","m4.2xlarge","32.0","8","slow","0.588"
"spark","2","23","14","408.35","1","6","1","ebs","2","slow","0.12","500.0","8","m4.2xlarge","32.0","8","slow","0.588"
"spark","2","24","4","2827.82","1","6","1","ebs","2","slow","0.12","500.0","8","m4.2xlarge","32.0","8","slow","0.588"
"spark","2","25","6","1271.12","1","6","1","ebs","2","slow","0.12","500.0","8","m4.2xlarge","32.0","8","slow","0.588"
"spark","2","26","16","2191.92","1","7","1","ebs","2","slow","0.12","500.0","13","m4.large","8.0","2","slow","0.147"
"spark","2","27","24","1625.18","1","7","1","ebs","2","slow","0.12","500.0","13","m4.large","8.0","2","slow","0.147"
"spark","2","28","40","549.06","1","7","1","ebs","2","slow","0.12","500.0","13","m4.large","8.0","2","slow","0.147"
"spark","2","29","56","540.45","1","7","1","ebs","2","slow","0.12","500.0","13","m4.large","8.0","2","slow","0.147"
"spark","2","30","12","1182.67","1","8","1","ebs","2","slow","0.12","500.0","10","m4.xlarge","16.0","4","slow","0.294"
"spark","2","31","20","417.88","1","8","1","ebs","2","slow","0.12","500.0","10","m4.xlarge","16.0","4","slow","0.294"
"spark","2","32","28","453.31","1","8","1","ebs","2","slow","0.12","500.0","10","m4.xlarge","16.0","4","slow","0.294"
"spark","2","33","8","2456.36","1","8","1","ebs","2","slow","0.12","500.0","10","m4.xlarge","16.0","4","slow","0.294"
"spark","2","34","10","420.05","1","9","1","ebs","2","slow","0.12","500.0","14","r3.2xlarge","61.0","8","slow","0.78"
"spark","2","35","14","393.83","1","9","1","ebs","2","slow","0.12","500.0","14","r3.2xlarge","61.0","8","slow","0.78"
"spark","2","36","4","707.0","1","9","1","ebs","2","slow","0.12","500.0","14","r3.2xlarge","61.0","8","slow","0.78"
"spark","2","37","6","553.86","1","9","1","ebs","2","slow","0.12","500.0","14","r3.2xlarge","61.0","8","slow","0.78"
"spark","2","38","8","513.39","1","9","1","ebs","2","slow","0.12","500.0","14","r3.2xlarge","61.0","8","slow","0.78"
"spark","2","39","16","1731.75","1","10","1","ebs","2","slow","0.12","500.0","2","r3.large","15.25","2","slow","0.195"
"spark","2","40","32","579.81","1","10","1","ebs","2","slow","0.12","500.0","2","r3.large","15.25","2","slow","0.195"
"spark","2","41","40","674.37","1","10","1","ebs","2","slow","0.12","500.0","2","r3.large","15.25","2","slow","0.195"
"spark","2","42","56","722.39","1","10","1","ebs","2","slow","0.12","500.0","2","r3.large","15.25","2","slow","0.195"
"spark","2","43","12","543.5","1","11","1","ebs","2","slow","0.12","500.0","6","r3.xlarge","30.5","4","slow","0.39"
"spark","2","44","16","465.18","1","11","1","ebs","2","slow","0.12","500.0","6","r3.xlarge","30.5","4","slow","0.39"
"spark","2","45","20","432.32","1","11","1","ebs","2","slow","0.12","500.0","6","r3.xlarge","30.5","4","slow","0.39"
"spark","2","46","28","441.84","1","11","1","ebs","2","slow","0.12","500.0","6","r3.xlarge","30.5","4","slow","0.39"
"spark","2","47","8","675.19","1","11","1","ebs","2","slow","0.12","500.0","6","r3.xlarge","30.5","4","slow","0.39"
"spark","2","48","2","7576.74","1","1","1","ebs","2","slow","0.12","500.0","12","c4.2xlarge","15.0","8","fast","0.552"
"spark","2","49","32","1205.88","1","2","1","ebs","2","slow","0.12","500.0","7","c4.large","3.75","2","fast","0.138"
"spark","2","50","8","5944.13","1","2","1","ebs","2","slow","0.12","500.0","7","c4.large","3.75","2","fast","0.138"
"spark","2","51","4","5069.17","1","3","1","ebs","2","slow","0.12","500.0","11","c4.xlarge","7.5","4","fast","0.276"
"spark","2","52","10","413.38","1","12","3","local","3","fast","0.0","500.0","9","i2.2xlarge","61.0","8","slow","1.876"
"spark","2","53","14","397.4","1","12","3","local","3","fast","0.0","500.0","9","i2.2xlarge","61.0","8","slow","1.876"
"spark","2","54","2","7803.09","1","12","3","local","3","fast","0.0","500.0","9","i2.2xlarge","61.0","8","slow","1.876"
"spark","2","55","4","705.83","1","12","3","local","3","fast","0.0","500.0","9","i2.2xlarge","61.0","8","slow","1.876"
"spark","2","56","6","533.54","1","12","3","local","3","fast","0.0","500.0","9","i2.2xlarge","61.0","8","slow","1.876"
"spark","2","57","8","446.91","1","12","3","local","3","fast","0.0","500.0","9","i2.2xlarge","61.0","8","slow","1.876"
"spark","2","58","4","5186.72","1","5","2","local","2","fast","0.0","500.0","4","i2.xlarge","30.5","4","slow","0.938"
"spark","2","59","2","8813.93","1","6","1","ebs","2","slow","0.12","500.0","8","m4.2xlarge","32.0","8","slow","0.588"
"spark","2","60","32","591.51","1","7","1","ebs","2","slow","0.12","500.0","13","m4.large","8.0","2","slow","0.147"
"spark","2","61","8","5449.65","1","7","1","ebs","2","slow","0.12","500.0","13","m4.large","8.0","2","slow","0.147"
"spark","2","62","16","476.11","1","8","1","ebs","2","slow","0.12","500.0","10","m4.xlarge","16.0","4","slow","0.294"
"spark","2","63","4","5857.7","1","8","1","ebs","2","slow","0.12","500.0","10","m4.xlarge","16.0","4","slow","0.294"
"spark","2","64","2","7612.24","1","9","1","ebs","2","slow","0.12","500.0","14","r3.2xlarge","61.0","8","slow","0.78"
"spark","2","65","8","4029.94","1","10","1","ebs","2","slow","0.12","500.0","2","r3.large","15.25","2","slow","0.195"
"spark","2","66","4","5149.76","1","11","1","ebs","2","slow","0.12","500.0","6","r3.xlarge","30.5","4","slow","0.39"
