"exp_name","exp_id","config_id","num_machines","time","num","machine_id","disk_id","disk_name","disk_count","disk_speed","disk_cost","disk_size","vm_id","vm_name","ram","cpu_count","vm_speed","vm_cost"
"tpcds","15","1","10","391.799437046","1","1","1","ebs","2","slow","0.12","500.0","12","c4.2xlarge","15.0","8","fast","0.552"
"tpcds","15","3","4","554.358482122","1","1","1","ebs","2","slow","0.12","500.0","12","c4.2xlarge","15.0","8","fast","0.552"
"tpcds","15","4","6","455.952349901","1","1","1","ebs","2","slow","0.12","500.0","12","c4.2xlarge","15.0","8","fast","0.552"
"tpcds","15","5","8","402.575913191","1","1","1","ebs","2","slow","0.12","500.0","12","c4.2xlarge","15.0","8","fast","0.552"
"tpcds","15","6","16","615.882034063","1","2","1","ebs","2","slow","0.12","500.0","7","c4.large","3.75","2","fast","0.138"
"tpcds","15","7","24","549.924647093","1","2","1","ebs","2","slow","0.12","500.0","7","c4.large","3.75","2","fast","0.138"
"tpcds","15","8","12","520.273916006","1","3","1","ebs","2","slow","0.12","500.0","11","c4.xlarge","7.5","4","fast","0.276"
"tpcds","15","10","20","411.96416688","1","3","1","ebs","2","slow","0.12","500.0","11","c4.xlarge","7.5","4","fast","0.276"
"tpcds","15","12","8","606.228111029","1","3","1","ebs","2","slow","0.12","500.0","11","c4.xlarge","7.5","4","fast","0.276"
"tpcds","15","17","12","603.034552813","1","5","2","local","2","fast","0.0","500.0","4","i2.xlarge","30.5","4","slow","0.938"
"tpcds","15","18","16","599.163506985","1","5","2","local","2","fast","0.0","500.0","4","i2.xlarge","30.5","4","slow","0.938"
"tpcds","15","19","20","554.56129694","1","5","2","local","2","fast","0.0","500.0","4","i2.xlarge","30.5","4","slow","0.938"
"tpcds","15","20","28","513.289526939","1","5","2","local","2","fast","0.0","500.0","4","i2.xlarge","30.5","4","slow","0.938"
"tpcds","15","21","8","716.58701992","1","5","2","local","2","fast","0.0","500.0","4","i2.xlarge","30.5","4","slow","0.938"
"tpcds","15","22","10","441.92058897","1","6","1","ebs","2","slow","0.12","500.0","8","m4.2xlarge","32.0","8","slow","0.588"
"tpcds","15","23","14","411.098819017","1","6","1","ebs","2","slow","0.12","500.0","8","m4.2xlarge","32.0","8","slow","0.588"
"tpcds","15","24","4","629.501960039","1","6","1","ebs","2","slow","0.12","500.0","8","m4.2xlarge","32.0","8","slow","0.588"
"tpcds","15","25","6","523.820343971","1","6","1","ebs","2","slow","0.12","500.0","8","m4.2xlarge","32.0","8","slow","0.588"
"tpcds","15","26","16","698.886446953","1","7","1","ebs","2","slow","0.12","500.0","13","m4.large","8.0","2","slow","0.147"
"tpcds","15","27","24","611.594489098","1","7","1","ebs","2","slow","0.12","500.0","13","m4.large","8.0","2","slow","0.147"
"tpcds","15","28","40","585.29113102","1","7","1","ebs","2","slow","0.12","500.0","13","m4.large","8.0","2","slow","0.147"
"tpcds","15","29","56","623.595905066","1","7","1","ebs","2","slow","0.12","500.0","13","m4.large","8.0","2","slow","0.147"
"tpcds","15","30","12","516.446238041","1","8","1","ebs","2","slow","0.12","500.0","10","m4.xlarge","16.0","4","slow","0.294"
"tpcds","15","31","20","488.899393082","1","8","1","ebs","2","slow","0.12","500.0","10","m4.xlarge","16.0","4","slow","0.294"
"tpcds","15","32","28","602.517415047","1","8","1","ebs","2","slow","0.12","500.0","10","m4.xlarge","16.0","4","slow","0.294"
"tpcds","15","33","8","590.122699976","1","8","1","ebs","2","slow","0.12","500.0","10","m4.xlarge","16.0","4","slow","0.294"
"tpcds","15","34","10","501.891698837","1","9","1","ebs","2","slow","0.12","500.0","14","r3.2xlarge","61.0","8","slow","0.78"
"tpcds","15","35","14","462.867120028","1","9","1","ebs","2","slow","0.12","500.0","14","r3.2xlarge","61.0","8","slow","0.78"
"tpcds","15","36","4","713.465404987","1","9","1","ebs","2","slow","0.12","500.0","14","r3.2xlarge","61.0","8","slow","0.78"
"tpcds","15","37","6","581.398759842","1","9","1","ebs","2","slow","0.12","500.0","14","r3.2xlarge","61.0","8","slow","0.78"
"tpcds","15","38","8","521.278275967","1","9","1","ebs","2","slow","0.12","500.0","14","r3.2xlarge","61.0","8","slow","0.78"
"tpcds","15","39","16","809.201089144","1","10","1","ebs","2","slow","0.12","500.0","2","r3.large","15.25","2","slow","0.195"
"tpcds","15","40","32","701.949306965","1","10","1","ebs","2","slow","0.12","500.0","2","r3.large","15.25","2","slow","0.195"
"tpcds","15","41","40","665.418190956","1","10","1","ebs","2","slow","0.12","500.0","2","r3.large","15.25","2","slow","0.195"
"tpcds","15","42","56","663.435446024","1","10","1","ebs","2","slow","0.12","500.0","2","r3.large","15.25","2","slow","0.195"
"tpcds","15","43","12","608.676278114","1","11","1","ebs","2","slow","0.12","500.0","6","r3.xlarge","30.5","4","slow","0.39"
"tpcds","15","44","16","571.552811861","1","11","1","ebs","2","slow","0.12","500.0","6","r3.xlarge","30.5","4","slow","0.39"
"tpcds","15","45","20","542.304026842","1","11","1","ebs","2","slow","0.12","500.0","6","r3.xlarge","30.5","4","slow","0.39"
"tpcds","15","46","28","544.765871048","1","11","1","ebs","2","slow","0.12","500.0","6","r3.xlarge","30.5","4","slow","0.39"
"tpcds","15","47","8","701.648249149","1","11","1","ebs","2","slow","0.12","500.0","6","r3.xlarge","30.5","4","slow","0.39"
"tpcds","15","48","2","988.482558966","1","1","1","ebs","2","slow","0.12","500.0","12","c4.2xlarge","15.0","8","fast","0.552"
"tpcds","15","49","32","527.713214159","1","2","1","ebs","2","slow","0.12","500.0","7","c4.large","3.75","2","fast","0.138"
"tpcds","15","50","8","827.809178114","1","2","1","ebs","2","slow","0.12","500.0","7","c4.large","3.75","2","fast","0.138"
"tpcds","15","51","4","925.938064814","1","3","1","ebs","2","slow","0.12","500.0","11","c4.xlarge","7.5","4","fast","0.276"
"tpcds","15","52","10","512.709412813","1","12","3","local","3","fast","0.0","500.0","9","i2.2xlarge","61.0","8","slow","1.876"
"tpcds","15","53","14","468.095324039","1","12","3","local","3","fast","0.0","500.0","9","i2.2xlarge","61.0","8","slow","1.876"
"tpcds","15","54","2","1242.59316397","1","12","3","local","3","fast","0.0","500.0","9","i2.2xlarge","61.0","8","slow","1.876"
"tpcds","15","55","4","715.717935085","1","12","3","local","3","fast","0.0","500.0","9","i2.2xlarge","61.0","8","slow","1.876"
"tpcds","15","56","6","573.168725014","1","12","3","local","3","fast","0.0","500.0","9","i2.2xlarge","61.0","8","slow","1.876"
"tpcds","15","57","8","514.556185961","1","12","3","local","3","fast","0.0","500.0","9","i2.2xlarge","61.0","8","slow","1.876"
"tpcds","15","58","4","1043.5606308","1","5","2","local","2","fast","0.0","500.0","4","i2.xlarge","30.5","4","slow","0.938"
"tpcds","15","59","2","1088.88907409","1","6","1","ebs","2","slow","0.12","500.0","8","m4.2xlarge","32.0","8","slow","0.588"
"tpcds","15","60","32","634.939073086","1","7","1","ebs","2","slow","0.12","500.0","13","m4.large","8.0","2","slow","0.147"
"tpcds","15","61","8","902.33667016","1","7","1","ebs","2","slow","0.12","500.0","13","m4.large","8.0","2","slow","0.147"
"tpcds","15","62","16","532.988869905","1","8","1","ebs","2","slow","0.12","500.0","10","m4.xlarge","16.0","4","slow","0.294"
"tpcds","15","63","4","882.25732398","1","8","1","ebs","2","slow","0.12","500.0","10","m4.xlarge","16.0","4","slow","0.294"
"tpcds","15","64","2","1252.88281202","1","9","1","ebs","2","slow","0.12","500.0","14","r3.2xlarge","61.0","8","slow","0.78"
"tpcds","15","65","8","1140.60885","1","10","1","ebs","2","slow","0.12","500.0","2","r3.large","15.25","2","slow","0.195"
"tpcds","15","66","4","1047.89786887","1","11","1","ebs","2","slow","0.12","500.0","6","r3.xlarge","30.5","4","slow","0.39"
"tpcds","15","77","8","453.675332069","1","6","1","ebs","2","slow","0.12","500.0","8","m4.2xlarge","32.0","8","slow","0.588"
"tpcds","15","79","24","705.340061903","1","10","1","ebs","2","slow","0.12","500.0","2","r3.large","15.25","2","slow","0.195"
