"exp_name","exp_id","config_id","num_machines","time","num","machine_id","disk_id","disk_name","disk_count","disk_speed","disk_cost","disk_size","vm_id","vm_name","ram","cpu_count","vm_speed","vm_cost"
"tpch","16","1","10","274.045855999","1","1","1","ebs","2","slow","0.12","500.0","12","c4.2xlarge","15.0","8","fast","0.552"
"tpch","16","2","14","228.292612076","1","1","1","ebs","2","slow","0.12","500.0","12","c4.2xlarge","15.0","8","fast","0.552"
"tpch","16","3","4","503.205879927","1","1","1","ebs","2","slow","0.12","500.0","12","c4.2xlarge","15.0","8","fast","0.552"
"tpch","16","4","6","356.051903009","1","1","1","ebs","2","slow","0.12","500.0","12","c4.2xlarge","15.0","8","fast","0.552"
"tpch","16","5","8","302.106817961","1","1","1","ebs","2","slow","0.12","500.0","12","c4.2xlarge","15.0","8","fast","0.552"
"tpch","16","6","16","4033.81643486","1","2","1","ebs","2","slow","0.12","500.0","7","c4.large","3.75","2","fast","0.138"
"tpch","16","7","24","2852.97235894","1","2","1","ebs","2","slow","0.12","500.0","7","c4.large","3.75","2","fast","0.138"
"tpch","16","8","12","394.95044589","1","3","1","ebs","2","slow","0.12","500.0","11","c4.xlarge","7.5","4","fast","0.276"
"tpch","16","9","16","354.121366024","1","3","1","ebs","2","slow","0.12","500.0","11","c4.xlarge","7.5","4","fast","0.276"
"tpch","16","10","20","295.246594906","1","3","1","ebs","2","slow","0.12","500.0","11","c4.xlarge","7.5","4","fast","0.276"
"tpch","16","11","28","277.234767199","1","3","1","ebs","2","slow","0.12","500.0","11","c4.xlarge","7.5","4","fast","0.276"
"tpch","16","12","8","578.029367924","1","3","1","ebs","2","slow","0.12","500.0","11","c4.xlarge","7.5","4","fast","0.276"
"tpch","16","17","12","476.360448122","1","5","2","local","2","fast","0.0","500.0","4","i2.xlarge","30.5","4","slow","0.938"
"tpch","16","18","16","406.844295025","1","5","2","local","2","fast","0.0","500.0","4","i2.xlarge","30.5","4","slow","0.938"
"tpch","16","19","20","356.934380054","1","5","2","local","2","fast","0.0","500.0","4","i2.xlarge","30.5","4","slow","0.938"
"tpch","16","21","8","650.798424959","1","5","2","local","2","fast","0.0","500.0","4","i2.xlarge","30.5","4","slow","0.938"
"tpch","16","22","10","293.794249058","1","6","1","ebs","2","slow","0.12","500.0","8","m4.2xlarge","32.0","8","slow","0.588"
"tpch","16","24","4","548.891211987","1","6","1","ebs","2","slow","0.12","500.0","8","m4.2xlarge","32.0","8","slow","0.588"
"tpch","16","25","6","387.867656946","1","6","1","ebs","2","slow","0.12","500.0","8","m4.2xlarge","32.0","8","slow","0.588"
"tpch","16","26","16","686.908060074","1","7","1","ebs","2","slow","0.12","500.0","13","m4.large","8.0","2","slow","0.147"
"tpch","16","30","12","445.026396036","1","8","1","ebs","2","slow","0.12","500.0","10","m4.xlarge","16.0","4","slow","0.294"
"tpch","16","31","20","338.148932219","1","8","1","ebs","2","slow","0.12","500.0","10","m4.xlarge","16.0","4","slow","0.294"
"tpch","16","33","8","579.276613951","1","8","1","ebs","2","slow","0.12","500.0","10","m4.xlarge","16.0","4","slow","0.294"
"tpch","16","34","10","317.617716074","1","9","1","ebs","2","slow","0.12","500.0","14","r3.2xlarge","61.0","8","slow","0.78"
"tpch","16","36","4","574.325536013","1","9","1","ebs","2","slow","0.12","500.0","14","r3.2xlarge","61.0","8","slow","0.78"
"tpch","16","37","6","490.172302961","1","9","1","ebs","2","slow","0.12","500.0","14","r3.2xlarge","61.0","8","slow","0.78"
"tpch","16","38","8","345.24012208","1","9","1","ebs","2","slow","0.12","500.0","14","r3.2xlarge","61.0","8","slow","0.78"
"tpch","16","39","16","657.912184","1","10","1","ebs","2","slow","0.12","500.0","2","r3.large","15.25","2","slow","0.195"
"tpch","16","40","32","496.587968826","1","10","1","ebs","2","slow","0.12","500.0","2","r3.large","15.25","2","slow","0.195"
"tpch","16","41","40","480.0413661","1","10","1","ebs","2","slow","0.12","500.0","2","r3.large","15.25","2","slow","0.195"
"tpch","16","43","12","442.004554033","1","11","1","ebs","2","slow","0.12","500.0","6","r3.xlarge","30.5","4","slow","0.39"
"tpch","16","44","16","415.888775826","1","11","1","ebs","2","slow","0.12","500.0","6","r3.xlarge","30.5","4","slow","0.39"
"tpch","16","45","20","363.171591043","1","11","1","ebs","2","slow","0.12","500.0","6","r3.xlarge","30.5","4","slow","0.39"
"tpch","16","47","8","655.390138149","1","11","1","ebs","2","slow","0.12","500.0","6","r3.xlarge","30.5","4","slow","0.39"
"tpch","16","48","2","814.943453074","1","1","1","ebs","2","slow","0.12","500.0","12","c4.2xlarge","15.0","8","fast","0.552"
"tpch","16","50","8","4932.34184098","1","2","1","ebs","2","slow","0.12","500.0","7","c4.large","3.75","2","fast","0.138"
"tpch","16","51","4","882.60795188","1","3","1","ebs","2","slow","0.12","500.0","11","c4.xlarge","7.5","4","fast","0.276"
"tpch","16","52","10","312.407904863","1","12","3","local","3","fast","0.0","500.0","9","i2.2xlarge","61.0","8","slow","1.876"
"tpch","16","54","2","1034.36254287","1","12","3","local","3","fast","0.0","500.0","9","i2.2xlarge","61.0","8","slow","1.876"
"tpch","16","55","4","513.808426142","1","12","3","local","3","fast","0.0","500.0","9","i2.2xlarge","61.0","8","slow","1.876"
"tpch","16","56","6","432.428116083","1","12","3","local","3","fast","0.0","500.0","9","i2.2xlarge","61.0","8","slow","1.876"
"tpch","16","57","8","365.097831011","1","12","3","local","3","fast","0.0","500.0","9","i2.2xlarge","61.0","8","slow","1.876"
"tpch","16","58","4","1025.70402813","1","5","2","local","2","fast","0.0","500.0","4","i2.xlarge","30.5","4","slow","0.938"
"tpch","16","59","2","959.856965065","1","6","1","ebs","2","slow","0.12","500.0","8","m4.2xlarge","32.0","8","slow","0.588"
"tpch","16","61","8","1003.56690311","1","7","1","ebs","2","slow","0.12","500.0","13","m4.large","8.0","2","slow","0.147"
"tpch","16","62","16","376.209011078","1","8","1","ebs","2","slow","0.12","500.0","10","m4.xlarge","16.0","4","slow","0.294"
"tpch","16","63","4","988.848779917","1","8","1","ebs","2","slow","0.12","500.0","10","m4.xlarge","16.0","4","slow","0.294"
"tpch","16","64","2","924.921257973","1","9","1","ebs","2","slow","0.12","500.0","14","r3.2xlarge","61.0","8","slow","0.78"
"tpch","16","65","8","1176.57159901","1","10","1","ebs","2","slow","0.12","500.0","2","r3.large","15.25","2","slow","0.195"
"tpch","16","66","4","1076.52312708","1","11","1","ebs","2","slow","0.12","500.0","6","r3.xlarge","30.5","4","slow","0.39"
"tpch","16","77","8","335.865212917","1","6","1","ebs","2","slow","0.12","500.0","8","m4.2xlarge","32.0","8","slow","0.588"
"tpch","16","79","24","564.583875179","1","10","1","ebs","2","slow","0.12","500.0","2","r3.large","15.25","2","slow","0.195"
